vowel,time_index,v_time,time_abs,F1,F2,F3
heed,1,0,0.865,325,2234,2699
heed,2,0.005,0.871,321,2247,2714
heed,3,0.011,0.876,317,2259,2729
heed,4,0.016,0.882,312,2270,2745
heed,5,0.022,0.887,308,2280,2759
heed,6,0.027,0.892,300,2284,2765
heed,7,0.033,0.898,293,2288,2771
heed,8,0.038,0.903,286,2292,2777
heed,9,0.044,0.909,281,2287,2769
heed,10,0.049,0.914,279,2273,2748
hid,1,0,2.561,359,1920,2675
hid,2,0.006,2.568,361,1919,2667
hid,3,0.013,2.574,363,1911,2667
hid,4,0.019,2.581,365,1904,2667
hid,5,0.026,2.587,367,1897,2667
hid,6,0.032,2.594,366,1891,2662
hid,7,0.039,2.6,366,1886,2657
hid,8,0.045,2.607,366,1880,2653
hid,9,0.052,2.613,359,1857,2649
hid,10,0.058,2.619,353,1834,2645
hayed ,1,0,4.274,590,1628,2556
hayed ,2,0.013,4.287,636,1636,2539
hayed ,3,0.026,4.3,641,1651,2531
hayed ,4,0.039,4.313,629,1668,2514
hayed ,5,0.051,4.326,601,1686,2489
hayed ,6,0.064,4.339,581,1697,2476
hayed ,7,0.077,4.351,561,1714,2467
hayed ,8,0.09,4.364,540,1741,2461
hayed ,9,0.103,4.377,503,1834,2483
hayed ,10,0.116,4.39,468,1931,2498
head,1,0,6.108,573,1820,2431
head,2,0.007,6.115,568,1817,2439
head,3,0.014,6.122,563,1815,2448
head,4,0.021,6.129,556,1809,2461
head,5,0.028,6.136,547,1799,2479
head,6,0.035,6.143,538,1788,2497
head,7,0.042,6.15,528,1772,2515
head,8,0.049,6.157,516,1752,2532
head,9,0.055,6.164,505,1732,2549
head,10,0.062,6.171,491,1705,2561
had,1,0,7.81,790,1485,2430
had,2,0.007,7.816,771,1490,2441
had,3,0.014,7.823,753,1496,2452
had,4,0.02,7.83,724,1507,2476
had,5,0.027,7.837,689,1522,2509
had,6,0.034,7.844,654,1538,2543
had,7,0.041,7.85,614,1542,2563
had,8,0.048,7.857,573,1541,2575
had,9,0.054,7.864,531,1539,2587
had,10,0.061,7.871,500,1539,2608
hod,1,0,9.489,556,1058,2874
hod,2,0.008,9.497,566,1043,2895
hod,3,0.016,9.505,576,1027,2916
hod,4,0.024,9.513,571,1006,2926
hod,5,0.032,9.521,563,982,2934
hod,6,0.04,9.529,556,966,2935
hod,7,0.048,9.537,553,964,2920
hod,8,0.056,9.544,550,962,2904
hod,9,0.064,9.552,532,971,2861
hod,10,0.072,9.56,510,982,2811
hawed,1,0,11.257,433,1043,2352
hawed,2,0.013,11.269,430,955,2398
hawed,3,0.025,11.282,419,907,2453
hawed,4,0.038,11.294,420,862,2507
hawed,5,0.05,11.307,428,810,2561
hawed,6,0.063,11.319,438,575,2625
hawed,7,0.075,11.332,445,524,2737
hawed,8,0.088,11.345,449,686,2906
hawed,9,0.101,11.357,435,827,2753
hawed,10,0.113,11.37,426,933,2582
hud,1,0,13.09,600,1196,2704
hud,2,0.004,13.095,613,1198,2728
hud,3,0.009,13.099,627,1200,2751
hud,4,0.013,13.104,641,1202,2774
hud,5,0.018,13.108,646,1205,2790
hud,6,0.022,13.113,642,1209,2799
hud,7,0.027,13.117,638,1213,2807
hud,8,0.031,13.122,634,1217,2816
hud,9,0.036,13.126,630,1221,2824
hud,10,0.04,13.131,605,1223,2820
hoed,1,0,14.852,472,1483,2343
hoed,2,0.009,14.861,469,1517,2360
hoed,3,0.018,14.869,459,1530,2370
hoed,4,0.026,14.878,437,1506,2367
hoed,5,0.035,14.887,415,1482,2366
hoed,6,0.044,14.896,385,1450,2381
hoed,7,0.053,14.905,355,1419,2397
hoed,8,0.062,14.913,344,1394,2403
hoed,9,0.071,14.922,337,1370,2407
hoed,10,0.079,14.931,330,1367,2412
hood,1,0,16.69,417,1075,2567
hood,2,0.005,16.695,423,1087,2570
hood,3,0.01,16.7,429,1099,2573
hood,4,0.014,16.705,436,1110,2576
hood,5,0.019,16.709,437,1141,2584
hood,6,0.024,16.714,436,1180,2593
hood,7,0.029,16.719,435,1220,2603
hood,8,0.033,16.724,434,1260,2612
hood,9,0.038,16.728,430,1313,2609
hood,10,0.043,16.733,425,1383,2593
who'd,1,0,18.407,345,1506,2456
who'd,2,0.007,18.414,344,1512,2445
who'd,3,0.014,18.421,344,1517,2434
who'd,4,0.022,18.428,341,1519,2423
who'd,5,0.029,18.435,334,1512,2415
who'd,6,0.036,18.443,326,1504,2407
who'd,7,0.043,18.45,319,1474,2422
who'd,8,0.051,18.457,313,1421,2457
who'd,9,0.058,18.464,306,1368,2493
who'd,10,0.065,18.472,305,1374,2510
how'd,1,0,20.139,738,1476,2542
how'd,2,0.009,20.148,738,1447,2572
how'd,3,0.019,20.158,723,1419,2589
how'd,4,0.028,20.167,707,1389,2607
how'd,5,0.038,20.177,687,1352,2642
how'd,6,0.047,20.186,667,1314,2676
how'd,7,0.056,20.195,635,1301,2700
how'd,8,0.066,20.205,603,1289,2724
how'd,9,0.075,20.214,565,1279,2692
how'd,10,0.085,20.224,526,1269,2651
hoyed,1,0,21.928,577,936,2730
hoyed,2,0.011,21.939,584,982,2794
hoyed,3,0.023,21.95,583,1028,2830
hoyed,4,0.034,21.961,566,1077,2813
hoyed,5,0.045,21.973,544,1106,2741
hoyed,6,0.056,21.984,518,1121,2627
hoyed,7,0.068,21.995,497,1148,2546
hoyed,8,0.079,22.006,477,1182,2473
hoyed,9,0.09,22.018,465,1321,2421
hoyed,10,0.101,22.029,450,1482,2391
hide,1,0,23.725,537,1117,2827
hide,2,0.016,23.741,596,1127,2868
hide,3,0.032,23.757,646,1152,2886
hide,4,0.048,23.773,674,1174,2898
hide,5,0.064,23.789,672,1186,2904
hide,6,0.08,23.805,634,1203,2879
hide,7,0.096,23.821,621,1253,2797
hide,8,0.112,23.837,608,1329,2726
hide,9,0.128,23.853,580,1461,2669
hide,10,0.144,23.87,528,1637,2626
height,1,0,25.582,642,1051,2652
height,2,0.014,25.596,571,1066,2812
height,3,0.027,25.61,573,1094,2961
height,4,0.041,25.624,596,1112,3043
height,5,0.055,25.637,626,1153,3058
height,6,0.069,25.651,641,1233,3031
height,7,0.082,25.665,624,1375,2956
height,8,0.096,25.679,587,1512,2886
height,9,0.11,25.692,534,1623,2813
height,10,0.124,25.706,462,1704,2738
ahead,1,0,27.325,465,1471,2365
ahead,2,0.006,27.331,485,1458,2364
ahead,3,0.012,27.337,505,1447,2364
ahead,4,0.018,27.344,525,1437,2365
ahead,5,0.024,27.35,543,1431,2366
ahead,6,0.03,27.356,560,1429,2368
ahead,7,0.036,27.362,576,1427,2371
ahead,8,0.042,27.368,589,1444,2376
ahead,9,0.049,27.374,590,1512,2388
ahead,10,0.055,27.38,591,1581,2400
