vowel,time_index,v_time,time_abs,F1,F2,F3
heed,1,0,2.623,216,2258,3132
heed,2,0.007,2.63,221,2255,3104
heed,3,0.014,2.637,227,2252,3076
heed,4,0.021,2.645,232,2245,3041
heed,5,0.029,2.652,234,2230,2992
heed,6,0.036,2.659,236,2214,2944
heed,7,0.043,2.666,231,2196,2889
heed,8,0.05,2.673,219,2176,2828
heed,9,0.057,2.68,207,2156,2767
heed,10,0.064,2.688,236,2114,2739
hid,1,0,4.563,560,1799,2705
hid,2,0.005,4.568,555,1799,2708
hid,3,0.01,4.573,550,1799,2711
hid,4,0.015,4.578,545,1798,2715
hid,5,0.02,4.583,538,1797,2717
hid,6,0.026,4.589,526,1792,2716
hid,7,0.031,4.594,514,1786,2715
hid,8,0.036,4.599,501,1781,2714
hid,9,0.041,4.604,489,1775,2712
hid,10,0.046,4.609,476,1768,2707
hayed,1,0,6.468,349,2246,2929
hayed,2,0.009,6.477,351,2239,2935
hayed,3,0.017,6.485,351,2233,2936
hayed,4,0.026,6.494,350,2230,2932
hayed,5,0.035,6.503,349,2224,2925
hayed,6,0.043,6.511,350,2197,2892
hayed,7,0.052,6.52,352,2170,2859
hayed,8,0.061,6.529,353,2138,2827
hayed,9,0.069,6.537,354,2104,2795
hayed,10,0.078,6.546,352,2067,2761
head,1,0,8.538,508,2087,2671
head,2,0.008,8.546,506,2081,2677
head,3,0.017,8.554,504,2071,2682
head,4,0.025,8.563,503,2060,2687
head,5,0.033,8.571,505,2032,2684
head,6,0.041,8.579,507,2003,2681
head,7,0.05,8.588,506,1969,2681
head,8,0.058,8.596,503,1932,2683
head,9,0.066,8.604,496,1896,2684
head,10,0.075,8.612,474,1862,2686
 ,1,0,8.612,474,1862,2686
 ,2,0.232,8.845,601,1851,2666
 ,3,0.464,9.077,1151,1782,2977
 ,4,0.697,9.309,1299,2205,3124
 ,5,0.929,9.541,1676,2662,3649
 ,6,1.161,9.774,722,1732,2651
 ,7,1.393,10.006,701,1877,2755
 ,8,1.626,10.238,368,1910,2596
 ,9,1.858,10.47,540,1502,1563
 ,10,2.09,10.703,795,1539,2765
had,1,0,10.703,795,1539,2765
had,2,0.008,10.71,777,1540,2770
had,3,0.015,10.718,760,1541,2775
had,4,0.023,10.725,740,1544,2780
had,5,0.03,10.733,716,1550,2785
had,6,0.038,10.74,692,1555,2790
had,7,0.045,10.748,661,1554,2789
had,8,0.053,10.755,627,1551,2786
had,9,0.06,10.763,594,1548,2782
had,10,0.068,10.77,560,1546,2772
hawed,1,0,15.262,573,772,2651
hawed,2,0.006,15.268,626,783,2639
hawed,3,0.012,15.274,681,804,2630
hawed,4,0.018,15.28,736,825,2622
hawed,5,0.024,15.286,738,888,2606
hawed,6,0.03,15.292,715,971,2587
hawed,7,0.036,15.298,692,1054,2568
hawed,8,0.042,15.304,655,1132,2548
hawed,9,0.048,15.31,598,1202,2528
hawed,10,0.055,15.316,541,1272,2508
   ,1,0,15.316,541,1272,2508
   ,2,0.26,15.576,510,1757,2673
   ,3,0.519,15.836,256,1636,2776
   ,4,0.779,16.095,1398,2409,3291
   ,5,1.038,16.355,1233,2325,3249
   ,6,1.298,16.614,626,1950,2957
   ,7,1.558,16.874,743,1873,2763
   ,8,1.817,17.134,325,1912,2647
   ,9,2.077,17.393,636,1021,2328
   ,10,2.336,17.653,639,1383,2655
hud,1,0,17.653,639,1383,2655
hud,2,0.003,17.656,635,1393,2658
hud,3,0.006,17.659,631,1404,2660
hud,4,0.009,17.662,626,1414,2663
hud,5,0.012,17.665,618,1422,2665
hud,6,0.015,17.668,610,1430,2668
hud,7,0.018,17.67,602,1438,2670
hud,8,0.021,17.673,594,1446,2673
hud,9,0.023,17.676,586,1453,2675
hud,10,0.026,17.679,578,1461,2677
 ,1,0,17.679,578,1461,2677
 ,2,0.256,17.936,555,1834,2663
 ,3,0.513,18.192,1475,2142,NA
 ,4,0.769,18.448,1279,2274,3176
 ,5,1.025,18.705,1087,1814,3189
 ,6,1.282,18.961,692,1726,2780
 ,7,1.538,19.217,685,1636,2931
 ,8,1.794,19.474,377,1944,2624
 ,9,2.051,19.73,596,1404,1954
 ,10,2.307,19.986,614,2231,3336
hoed,1,0,19.986,614,2231,3336
hoed,2,0.005,19.991,549,1883,3044
hoed,3,0.01,19.996,484,1535,2752
hoed,4,0.015,20.001,419,1187,2460
hoed,5,0.02,20.006,401,1193,2402
hoed,6,0.025,20.011,392,1266,2389
hoed,7,0.03,20.016,383,1339,2376
hoed,8,0.035,20.021,373,1412,2363
hoed,9,0.04,20.026,359,1447,2367
hoed,10,0.045,20.031,343,1473,2374
hood,1,0,22.132,344,1832,2681
hood,2,0.008,22.139,357,1833,2687
hood,3,0.015,22.147,365,1827,2681
hood,4,0.023,22.155,369,1818,2670
hood,5,0.031,22.162,374,1808,2659
hood,6,0.038,22.17,374,1777,2670
hood,7,0.046,22.178,373,1747,2681
hood,8,0.054,22.185,372,1725,2700
hood,9,0.061,22.193,367,1715,2729
hood,10,0.069,22.201,363,1705,2758
who'd,1,0,24.411,356,1861,2569
